AGE_BUCKET,DAY_OF_WEEK,MORNING,LATE,sum,percentage
1,FRIDAY,0,0,85,66.92913386
1,FRIDAY,0,1,42,33.07086614
1,FRIDAY,1,0,145,72.13930348
1,FRIDAY,1,1,56,27.86069652
1,MONDAY,0,0,121,74.23312883
1,MONDAY,0,1,42,25.76687117
1,MONDAY,1,0,69,71.13402062
1,MONDAY,1,1,28,28.86597938
1,SATURDAY,0,0,25,60.97560976
1,SATURDAY,0,1,16,39.02439024
1,SATURDAY,1,0,24,52.17391304
1,SATURDAY,1,1,22,47.82608696
1,SUNDAY,0,0,4,100
1,SUNDAY,1,0,9,81.81818182
1,SUNDAY,1,1,2,18.18181818
1,THURSDAY,0,0,76,73.78640777
1,THURSDAY,0,1,27,26.21359223
1,THURSDAY,1,0,111,76.55172414
1,THURSDAY,1,1,34,23.44827586
1,TUESDAY,0,0,80,63.49206349
1,TUESDAY,0,1,46,36.50793651
1,TUESDAY,1,0,82,69.49152542
1,TUESDAY,1,1,36,30.50847458
1,WEDNESDAY,0,0,83,69.16666667
1,WEDNESDAY,0,1,37,30.83333333
1,WEDNESDAY,1,0,133,66.83417085
1,WEDNESDAY,1,1,66,33.16582915
2,FRIDAY,0,0,63,74.11764706
2,FRIDAY,0,1,22,25.88235294
2,FRIDAY,1,0,88,65.67164179
2,FRIDAY,1,1,46,34.32835821
2,MONDAY,0,0,75,67.56756757
2,MONDAY,0,1,36,32.43243243
2,MONDAY,1,0,63,65.625
2,MONDAY,1,1,33,34.375
2,SATURDAY,0,0,12,46.15384615
2,SATURDAY,0,1,14,53.84615385
2,SATURDAY,1,0,7,38.88888889
2,SATURDAY,1,1,11,61.11111111
2,SUNDAY,0,0,1,25
2,SUNDAY,0,1,3,75
2,SUNDAY,1,0,1,50
2,SUNDAY,1,1,1,50
2,THURSDAY,0,0,59,64.13043478
2,THURSDAY,0,1,33,35.86956522
2,THURSDAY,1,0,64,60.37735849
2,THURSDAY,1,1,42,39.62264151
2,TUESDAY,0,0,87,62.58992806
2,TUESDAY,0,1,52,37.41007194
2,TUESDAY,1,0,72,62.60869565
2,TUESDAY,1,1,43,37.39130435
2,WEDNESDAY,0,0,72,69.23076923
2,WEDNESDAY,0,1,32,30.76923077
2,WEDNESDAY,1,0,98,72.05882353
2,WEDNESDAY,1,1,38,27.94117647
3,FRIDAY,0,0,77,65.25423729
3,FRIDAY,0,1,41,34.74576271
3,FRIDAY,1,0,87,64.44444444
3,FRIDAY,1,1,48,35.55555556
3,MONDAY,0,0,75,63.02521008
3,MONDAY,0,1,44,36.97478992
3,MONDAY,1,0,80,70.1754386
3,MONDAY,1,1,34,29.8245614
3,SATURDAY,0,0,19,54.28571429
3,SATURDAY,0,1,16,45.71428571
3,SATURDAY,1,0,11,42.30769231
3,SATURDAY,1,1,15,57.69230769
3,SUNDAY,0,0,5,45.45454545
3,SUNDAY,0,1,6,54.54545455
3,SUNDAY,1,0,1,100
3,THURSDAY,0,0,91,63.63636364
3,THURSDAY,0,1,52,36.36363636
3,THURSDAY,1,0,82,71.92982456
3,THURSDAY,1,1,32,28.07017544
3,TUESDAY,0,0,93,68.38235294
3,TUESDAY,0,1,43,31.61764706
3,TUESDAY,1,0,86,66.66666667
3,TUESDAY,1,1,43,33.33333333
3,WEDNESDAY,0,0,100,68.02721088
3,WEDNESDAY,0,1,47,31.97278912
3,WEDNESDAY,1,0,85,66.92913386
3,WEDNESDAY,1,1,42,33.07086614
4,FRIDAY,0,0,108,71.52317881
4,FRIDAY,0,1,43,28.47682119
4,FRIDAY,1,0,108,69.67741935
4,FRIDAY,1,1,47,30.32258065
4,MONDAY,0,0,117,68.42105263
4,MONDAY,0,1,54,31.57894737
4,MONDAY,1,0,97,66.43835616
4,MONDAY,1,1,49,33.56164384
4,SATURDAY,0,0,27,55.10204082
4,SATURDAY,0,1,22,44.89795918
4,SATURDAY,1,0,8,66.66666667
4,SATURDAY,1,1,4,33.33333333
4,SUNDAY,0,0,4,80
4,SUNDAY,0,1,1,20
4,SUNDAY,1,0,5,71.42857143
4,SUNDAY,1,1,2,28.57142857
4,THURSDAY,0,0,73,60.33057851
4,THURSDAY,0,1,48,39.66942149
4,THURSDAY,1,0,85,64.39393939
4,THURSDAY,1,1,47,35.60606061
4,TUESDAY,0,0,80,57.55395683
4,TUESDAY,0,1,59,42.44604317
4,TUESDAY,1,0,123,68.33333333
4,TUESDAY,1,1,57,31.66666667
4,WEDNESDAY,0,0,104,69.79865772
4,WEDNESDAY,0,1,45,30.20134228
4,WEDNESDAY,1,0,97,62.58064516
4,WEDNESDAY,1,1,58,37.41935484
5,FRIDAY,0,0,155,66.81034483
5,FRIDAY,0,1,77,33.18965517
5,FRIDAY,1,0,177,65.79925651
5,FRIDAY,1,1,92,34.20074349
5,MONDAY,0,0,180,68.96551724
5,MONDAY,0,1,81,31.03448276
5,MONDAY,1,0,220,75.08532423
5,MONDAY,1,1,73,24.91467577
5,SATURDAY,0,0,27,52.94117647
5,SATURDAY,0,1,24,47.05882353
5,SATURDAY,1,0,18,64.28571429
5,SATURDAY,1,1,10,35.71428571
5,SUNDAY,0,0,9,64.28571429
5,SUNDAY,0,1,5,35.71428571
5,SUNDAY,1,0,6,54.54545455
5,SUNDAY,1,1,5,45.45454545
5,THURSDAY,0,0,161,66.52892562
5,THURSDAY,0,1,81,33.47107438
5,THURSDAY,1,0,186,72.37354086
5,THURSDAY,1,1,71,27.62645914
5,TUESDAY,0,0,181,67.28624535
5,TUESDAY,0,1,88,32.71375465
5,TUESDAY,1,0,184,69.17293233
5,TUESDAY,1,1,82,30.82706767
5,WEDNESDAY,0,0,157,68.26086957
5,WEDNESDAY,0,1,73,31.73913043
5,WEDNESDAY,1,0,148,60.16260163
5,WEDNESDAY,1,1,98,39.83739837
6,FRIDAY,0,0,177,68.60465116
6,FRIDAY,0,1,81,31.39534884
6,FRIDAY,1,0,250,67.38544474
6,FRIDAY,1,1,121,32.61455526
6,MONDAY,0,0,188,63.08724832
6,MONDAY,0,1,110,36.91275168
6,MONDAY,1,0,258,64.66165414
6,MONDAY,1,1,141,35.33834586
6,SATURDAY,0,0,23,50
6,SATURDAY,0,1,23,50
6,SATURDAY,1,0,13,56.52173913
6,SATURDAY,1,1,10,43.47826087
6,SUNDAY,0,0,6,50
6,SUNDAY,0,1,6,50
6,SUNDAY,1,0,7,63.63636364
6,SUNDAY,1,1,4,36.36363636
6,THURSDAY,0,0,267,63.27014218
6,THURSDAY,0,1,155,36.72985782
6,THURSDAY,1,0,242,59.60591133
6,THURSDAY,1,1,164,40.39408867
6,TUESDAY,0,0,258,64.17910448
6,TUESDAY,0,1,144,35.82089552
6,TUESDAY,1,0,233,68.32844575
6,TUESDAY,1,1,108,31.67155425
6,WEDNESDAY,0,0,232,67.83625731
6,WEDNESDAY,0,1,110,32.16374269
6,WEDNESDAY,1,0,191,61.61290323
6,WEDNESDAY,1,1,119,38.38709677
7,FRIDAY,0,0,85,85
7,FRIDAY,0,1,15,15
7,FRIDAY,1,0,70,59.82905983
7,FRIDAY,1,1,47,40.17094017
7,MONDAY,0,0,61,71.76470588
7,MONDAY,0,1,24,28.23529412
7,MONDAY,1,0,95,73.07692308
7,MONDAY,1,1,35,26.92307692
7,SATURDAY,0,0,6,42.85714286
7,SATURDAY,0,1,8,57.14285714
7,SATURDAY,1,0,3,27.27272727
7,SATURDAY,1,1,8,72.72727273
7,SUNDAY,0,0,3,75
7,SUNDAY,0,1,1,25
7,SUNDAY,1,0,2,66.66666667
7,SUNDAY,1,1,1,33.33333333
7,THURSDAY,0,0,90,59.21052632
7,THURSDAY,0,1,62,40.78947368
7,THURSDAY,1,0,76,61.78861789
7,THURSDAY,1,1,47,38.21138211
7,TUESDAY,0,0,94,67.14285714
7,TUESDAY,0,1,46,32.85714286
7,TUESDAY,1,0,80,62.01550388
7,TUESDAY,1,1,49,37.98449612
7,WEDNESDAY,0,0,90,66.17647059
7,WEDNESDAY,0,1,46,33.82352941
7,WEDNESDAY,1,0,57,57.57575758
7,WEDNESDAY,1,1,42,42.42424242